,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
8999,Creation,"Biography, Drama, Romance",6.6,"Torn between faith and science, and suffering hallucinations, English naturalist Charles Darwin struggles to complete 'On the Origin of Species' and maintain his relationship with his wife.",Jon Amiel,14776,$0.34M,Snow
9000,Meru,"Documentary, Sport",7.7,"Three elite climbers struggle to find their way through obsession and loss as they attempt to climb Mount Meru, one of the most coveted prizes in the high stakes game of Himalayan big wall climbing.",Jimmy Chin,18373,$2.33M,Snow
9001,Sam gang 2,Horror,6.9,An Asian cross-cultural trilogy of horror films from accomplished indie directors.,Fruit Chan,20313,$0.08M,Snow
9002,Kill Your Friends,"Comedy, Crime, Music",6.0,An A&R man working at the height of the Britpop music craze goes to extremes in order to find his next hit.,Owen Harris,9811,,Snow
9003,The Christmas Chronicles: Part Two,"Adventure, Comedy, Family",6.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",Chris Columbus,32791,,Snow
9004,Iron Will,"Adventure, Family",6.6,A brave young man is thrust into adulthood as he and his courageous team of sled dogs embark on a grueling and treacherous cross-country marathon.,Charles Haid,8973,$21.01M,Snow
9005,Alone in Berlin,"Drama, History, War",6.5,"After a Nazi German working class couple loses their son in World War II, they decide to retaliate by secretly leafletting handwritten cards in Berlin denouncing their government.",Vincent Perez,9602,,Snow
9006,Napola - Elite für den Führer,"Drama, Sport, Thriller",7.4,Friedrich's boxing skills gets him in an elite Nazi high school in a castle in 1942. He enrolls against his dad's wish as it promises a brighter future. It's not what he expected.,Dennis Gansel,16569,$0.14M,Snow
9007,Collide,"Action, Crime, Thriller",5.6,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Eran Creevy,16750,$2.28M,Snow
9008,Dnevnoy dozor,"Action, Fantasy, Horror",6.4,"A man who serves in the war between the forces of Light and Dark comes into possession of a device that can restore life to Moscow, which was nearly destroyed by an apocalyptic event.",Timur Bekmambetov,34880,$0.45M,Snow
9009,The Package,"Action, Crime, Drama",6.4,"Experienced Green Beret sergeant Johnny Gallagher is escorting a prisoner, Airborne Ranger Thomas Boyette, back to the US, but Boyette escapes and Gallagher must risk life and limb to catch him.",Andrew Davis,10585,$10.65M,Snow
9010,6 Below: Miracle on the Mountain,"Biography, Drama, Sport",5.7,"An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""",Scott Waugh,7974,,Snow
9011,Call of Duty: Modern Warfare 2,"Action, Thriller",8.8,"A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",Jason West,24701,,Snow
9012,Extinction,"Action, Adventure, Drama",5.8,"And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.",Miguel Ángel Vivas,17454,,Snow
9013,I Smile Back,Drama,6.2,"Addicted to drugs and alcohol, a housewife's self-destructive behavior starts to take its toll on her husband and two young children.",Adam Salky,5520,$0.06M,Snow
9014,We Are Still Here,"Horror, Mystery",5.7,"In the cold, wintery fields of New England, a lonely old house wakes up every thirty years - and demands a sacrifice.",Ted Geoghegan,19337,,Snow
9015,Urban Legends: Final Cut,"Horror, Mystery",4.3,A film school is the center of a fresh spate of killings based on urban legends.,John Ottman,18233,$21.47M,Snow
9016,Dylda,"Drama, War",7.2,"1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",Kantemir Balagov,11695,,Snow
9017,A Boy Called Christmas,"Adventure, Drama, Family",6.7,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.",Gil Kenan,24412,,Snow
9018,Stories We Tell,Documentary,7.5,A film that excavates layers of myth and memory to find the elusive truth at the core of a family of storytellers.,Sarah Polley,13766,$1.60M,Snow
9019,Skipped Parts,"Comedy, Drama, Romance",6.3,An ungrounded young mother and her thoughtful teenage son are banished to a remote provincial town by her domineering father.,Tamra Davis,3517,,Snow
9020,"The Prize Winner of Defiance, Ohio","Biography, Drama",7.2,"In order to support her ten children, Evelyn Ryan enters a commercial jingle-writing contest.",Jane Anderson,7899,$0.63M,Snow
9021,Yara,"Crime, Drama, Thriller",6.3,A determined prosecutor becomes consumed with the case of a missing 13-year-old and goes to extreme lengths to get to the truth. Based on a real case.,Marco Tullio Giordana,5697,,Snow
9022,Stranger: Mukô hadan,"Animation, Action, Adventure",7.8,"A swordsman from a strange land is caught in a struggle between morality, righteousness, and devotion as he reluctantly agrees to take a raggedy boy and his dog to a remote, Buddhist temple.",Masahiro Andô,17462,,Snow
9023,Ernest et Célestine,"Animation, Adventure, Comedy",7.8,"The story of an unlikely friendship between a bear, Ernest, and a young mouse named Celestine.",Stéphane Aubier,21280,$0.29M,Snow
9024,The Boys of St. Vincent,"Biography, Drama",7.6,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,John N. Smith,1854,$0.20M,Snow
9025,I Am Not a Serial Killer,"Drama, Horror, Thriller",6.2,"In a small Midwestern town, a troubled teen with homicidal tendencies must hunt down and destroy a supernatural killer while keeping his own inner demons at bay.",Billy O'Brien,15182,,Snow
9026,Ma ma,Drama,6.4,"In the aftermath of a tragedy a woman, Magda, reacts with a surge of newfound life that engulfs her circle of family and friends.",Julio Medem,4539,$0.05M,Snow
9027,Superman: Red Son,"Animation, Action, Sci-Fi",6.4,"What if baby Kal-El's rocket landed, not in Kansas, but in the Soviet Union? That is the premise of this Elseworld's tale from DC Comics.",Sam Liu,15699,,Snow
9028,Dying of the Light,"Action, Drama, Thriller",4.5,"When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.",Paul Schrader,11062,,Snow
9029,The Odessa File,"Drama, Thriller",7.0,"Following the suicide of an elderly Jewish man, a journalist in possession of the man's diary investigates the alleged sighting of a former S.S. Captain, who commanded a concentration camp during World War II.",Ronald Neame,11635,$1.11M,Snow
9030,Restrepo,"Documentary, Biography, History",7.4,A year with one platoon in the deadliest valley in Afghanistan.,Tim Hetherington,24056,$1.33M,Snow
9031,Urban Legends: Bloody Mary,"Horror, Thriller",4.1,"On a prom-night dare, a trio of high school friends chant an incantation, unleashing an evil spirit from the past with deadly consequences.",Mary Lambert,8987,,Snow
9032,Go with Me,Thriller,5.3,An ex-logger comes to the aid of a woman who returns to her hometown in the Pacific Northwest and finds herself harassed and stalked by a former cop turned crime lord.,Daniel Alfredson,10267,$0.02M,Snow
9033,The Muppet Christmas Carol,"Comedy, Drama, Family",7.7,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,64070,$27.28M,Snow
9034,Ostre sledované vlaky,"Comedy, Drama, Romance",7.6,An apprentice train dispatcher at a village station seeks his first sexual encounter and becomes despondent when he is unable to perform.,Jirí Menzel,13256,$3.27M,Snow
9035,Snow Queen,"Adventure, Family, Fantasy",6.5,A young woman must journey through the seasons to rescue her boyfriend who has been kidnapped by the evil Snow Queen.,Chelsea Hobbs,3379,,Snow
9036,Iceman,"Drama, Sci-Fi",6.1,"A prehistoric Neanderthal man found frozen in ice is revived by an arctic exploration team, who then attempt to use him for their own scientific means.",Fred Schepisi,5768,$7.34M,Snow
9037,Sophie Scholl - Die letzten Tage,"Biography, Crime, Drama",7.6,"A dramatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose.",Marc Rothemund,28121,$0.68M,Snow
9038,Parallel,"Drama, Mystery, Sci-Fi",5.8,"A group of friends stumble upon a mirror that serves as a portal to a ""multiverse"", but soon discover that importing knowledge from the other side in order to better their lives brings increasingly dangerous consequences.",Isaac Ezban,4392,,Snow
9039,Hidden Agenda,"Action, Crime, Mystery",4.5,"When the FBI can't protect a witness, it's up to ex-agent Price and his own protection program to take them under.",Marc S. Grenier,1264,,Snow
9040,Breakheart Pass,"Drama, Mystery, Western",6.7,"John Deakin is being transported, as a prisoner, on a train with supplies and medicine to Fort Humboldt, Nevada.",Tom Gries,8131,,Snow
9041,The Adderall Diaries,"Crime, Drama, Thriller",5.2,"Elliot, a troubled former successful writer decides to write about a missing wife and the following murder trial of her husband.",Pamela Romanowsky,5811,$0.01M,Snow
9042,Sniper: Legacy,"Action, Thriller, War",5.3,"A rogue assassin is taking out military leaders, and Brandon gets word that his father is one. He tries to track down the killer, finds out that his father isn't dead and realizes that his superior officers are using him as bait to track the killer.",Don Michael Paul,5517,,Snow
9043,Hobson's Choice,"Comedy, Drama, Romance",7.7,"Widower Henry Hobson (Charles Laughton) is a successful bootmaker and a tyrannical father of three daughters who all want to leave him by getting married, but he refuses because marriage traditions require him to pay out settlements.",David Lean,8220,,Snow
9044,Tiger Zinda Hai,"Action, Adventure, Thriller",5.9,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a secret agent is drawn out of hiding to rescue them.",Mehmet Tutkun,30955,$5.56M,Snow
9045,Philosophy of a Knife,"Drama, Horror",4.4,"A graphic docu-drama detailing the history of Unit 731, where thousands of innocent Chinese prisoners of war were fatally experimented on.",Andrey Iskanov,1598,,Snow
9046,Silk,"Drama, Romance",5.8,"The story of a married silkworm merchant-turned-smuggler in 19th century France traveling to Japan for his town's supply of silkworms after a disease wipes out their African supply. During his stay in Japan, he becomes obsessed with the concubine of a local baron.",François Girard,11563,$1.10M,Snow
9047,Those People,"Drama, Romance",6.5,"On Manhattan's gilded Upper East Side, a young gay painter is torn between an obsession with his infamous socialite best friend and a promising new romance with an older foreign concert pianist.",Joey Kuhn,6342,,Snow
9048,Qian xi man bo,"Drama, Romance",7.0,The ethereally beautiful Vicky recalls her romances with Hao Hao and Jack in the neon-lit clubs of Taipei.,Hsiao-Hsien Hou,6001,$0.01M,Snow
9049,Pelle erobreren,Drama,7.8,"When his wife dies, Lasse takes his 12-year-old son, Pelle, from their home in Sweden to Denmark in search of a better life.",Bille August,11426,$2.05M,Snow
9050,Suchîmubôi,"Animation, Action, Adventure",6.8,"In 1860s Britain, a boy inventor finds himself caught in the middle of a deadly conflict over a revolutionary advance in steam power.",Katsuhiro Ôtomo,18162,$0.41M,Snow
9051,Universal Soldier: Regeneration,"Action, Adventure, Sci-Fi",5.3,"Terrorists kidnap the Russian Prime Minister's 2 kids, take Chernobyl nuclear power plant and threaten to blow up a reactor. 4 Universal Soldiers go in but are no match to a Next Gen. UniSol Luc (Jean-Claude Van Damme) goes in but faces 2 NGUs.",John Hyams,26038,,Snow
